id_stock_summary,date,stock_code,stock_name,remarks,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
4024831,2026-06-03,SSMS,Sawit Sumbermas Sarana Tbk.,XDMO1105100000D232------------,815.0,815.0,815.0,820.0,720.0,775.0,-40.0,19604800.0,15175321000.0,2686.0,115.7,775.0,187300.0,770.0,125500.0,9525000000.0,9525000000.0,2166937500.0,5063400.0,6131500.0,,58900.0,48003500.0,1.0
4024832,2026-06-03,SSTM,Sunson Textile Manufacture Tbk,--UO2135000000E413------------,498.0,0.0,0.0,498.0,426.0,432.0,-66.0,113200.0,51287400.0,176.0,101.6,436.0,1900.0,432.0,7400.0,1170909181.0,1170909181.0,89340371.0,2300.0,0.0,,0.0,0.0,0.0
4024833,2026-06-03,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,980.0,925.0,920.0,935.0,890.0,910.0,-70.0,8411700.0,7619441500.0,1232.0,151.7,930.0,2200.0,910.0,39000.0,10903372600.0,10903372600.0,3064938038.0,1600400.0,1859700.0,,0.0,0.0,0.0
4024834,2026-06-03,STAR,Calculus Global Ventures Tbk.,--UO2105000000G511------------,424.0,424.0,420.0,488.0,362.0,380.0,-44.0,793700.0,330828400.0,735.0,372.5,380.0,52500.0,378.0,7400.0,4800000602.0,4800000602.0,3254880408.0,76400.0,16100.0,,0.0,0.0,0.0
4024835,2026-06-03,STRK,Lovina Beach Brewery Tbk.,--UO2105000000D211------------,85.0,86.0,85.0,87.0,76.0,84.0,-1.0,2109500.0,169591900.0,193.0,84.0,84.0,2000.0,80.0,8000.0,10721835562.0,10721835562.0,2373814393.0,28600.0,0.0,,0.0,0.0,0.0
4024836,2026-06-03,STTP,Siantar Top Tbk.,--UO2135000000D222------------,10200.0,0.0,0.0,10200.0,9800.0,9875.0,-325.0,700.0,6955000.0,6.0,5835.3,9875.0,500.0,9525.0,100.0,1310000000.0,1310000000.0,263441000.0,0.0,100.0,,0.0,0.0,0.0
4024837,2026-06-03,SUGI,Sugih Energy Tbk.,--U-4105000000A111---L---Y---X,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,64.8,0.0,0.0,0.0,0.0,24811541414.0,24811541414.0,16432683878.0,0.0,0.0,,0.0,0.0,0.0
4024838,2026-06-03,SULI,SLJ Global Tbk.,--UO2130000000B151------------,86.0,86.0,86.0,87.0,80.0,81.0,-5.0,1453200.0,121460100.0,256.0,1.2,81.0,69400.0,80.0,16500.0,6320776836.0,6320776836.0,1862100856.0,0.0,284700.0,,0.0,0.0,0.0
4024839,2026-06-03,SUNI,Sunindo Pratama Tbk.,--MO1135000000A132------------,675.0,670.0,670.0,675.0,645.0,655.0,-20.0,245600.0,162963000.0,127.0,218.3,655.0,45800.0,650.0,1000.0,2500000000.0,2500000000.0,504500000.0,37300.0,3100.0,,0.0,0.0,0.0
4024840,2026-06-03,SUPA,Super Bank Indonesia Tbk.,--MO2100000000G111------------,870.0,880.0,880.0,880.0,835.0,845.0,-25.0,26360100.0,22365291500.0,4608.0,133.1,845.0,78400.0,840.0,561300.0,33558047450.0,18081906569.0,4590740891.0,3067300.0,9114400.0,,0.0,0.0,0.0
